Kabupaten/Kota,Tahun,AHH(tahun),RLS(tahun),TPT(persen),PKRD(ribu_rupiah),Pert_EkonomiY(persen)
Kabupaten Bangkalan,2019,70.11,5.66,5.62,8718,1.03
Kabupaten Bangkalan,2020,70.18,5.95,8.77,8610,-5.59
Kabupaten Bangkalan,2021,70.22,5.96,8.07,8673,-2.07
Kabupaten Bangkalan,2022,70.54,5.97,8.05,8971,-1.12
Kabupaten Bangkalan,2023,70.79,5.99,6.18,9438,1.2
Kabupaten Banyuwangi,2019,70.54,7.13,3.95,12264,5.55
Kabupaten Banyuwangi,2020,70.65,7.16,5.34,12140,-3.58
Kabupaten Banyuwangi,2021,70.72,7.42,5.42,12217,4.09
Kabupaten Banyuwangi,2022,71.06,7.66,5.26,12320,4.43
Kabupaten Banyuwangi,2023,71.38,7.76,4.75,12820,5.03
Kabupaten Blitar,2019,73.39,7.29,3.05,10861,5.12
Kabupaten Blitar,2020,73.52,7.39,3.82,10654,-2.29
Kabupaten Blitar,2021,73.61,7.5,3.66,10757,3.02
Kabupaten Blitar,2022,73.98,7.82,5.45,11001,5.2
Kabupaten Blitar,2023,74.34,7.83,4.91,11499,4.45
Kabupaten Bojonegoro,2019,71.36,7.09,3.56,10265,6.34
Kabupaten Bojonegoro,2020,71.56,7.33,4.92,10121,-0.4
Kabupaten Bojonegoro,2021,71.72,7.38,4.82,10221,-5.54
Kabupaten Bojonegoro,2022,72.16,7.43,4.69,10323,-6.16
Kabupaten Bojonegoro,2023,72.57,7.45,4.63,10776,2.47
Kabupaten Bondowoso,2019,66.55,5.71,2.86,10665,5.3
Kabupaten Bondowoso,2020,66.74,5.93,4.13,10610,-1.36
Kabupaten Bondowoso,2021,66.89,5.94,4.46,10690,3.49
Kabupaten Bondowoso,2022,67.29,6.22,4.32,10851,3.51
Kabupaten Bondowoso,2023,67.6,6.36,4.15,11255,4.62
Kabupaten Gresik,2019,72.61,9.29,5.4,13295,5.42
Kabupaten Gresik,2020,72.66,9.3,8.21,13246,-3.68
Kabupaten Gresik,2021,72.67,9.56,8,13280,3.79
Kabupaten Gresik,2022,72.99,9.75,7.84,13384,7.38
Kabupaten Gresik,2023,73.3,10.01,6.82,13870,4.62
Kabupaten Jember,2019,68.99,6.18,3.69,9525,5.51
Kabupaten Jember,2020,69.15,6.48,5.12,9294,-2.98
Kabupaten Jember,2021,69.28,6.49,5.44,9410,4
Kabupaten Jember,2022,69.68,6.5,4.06,9840,4.53
Kabupaten Jember,2023,70.03,6.52,4.01,10277,4.93
Kabupaten Jombang,2019,72.27,8.53,4.28,11533,5.1
Kabupaten Jombang,2020,72.4,8.54,7.48,11261,-1.98
Kabupaten Jombang,2021,72.49,8.55,7.09,11394,3.24
Kabupaten Jombang,2022,72.86,8.76,5.47,11579,5.37
Kabupaten Jombang,2023,73.22,8.77,4.66,11999,5.04
Kabupaten Kediri,2019,72.54,8.01,3.58,11146,5.06
Kabupaten Kediri,2020,72.61,8.02,5.24,11000,-2.41
Kabupaten Kediri,2021,72.65,8.08,5.15,11127,3.06
Kabupaten Kediri,2022,72.97,8.23,6.83,11565,4.9
Kabupaten Kediri,2023,73.27,8.24,5.79,11952,4.53
Kabupaten Lamongan,2019,72.27,7.89,3.89,11572,5.43
Kabupaten Lamongan,2020,72.4,7.92,5.13,11456,-2.65
Kabupaten Lamongan,2021,72.49,8.04,4.9,11510,3.43
